order_id,date,region,product,qty,unit_price
1000,2026-03-04,Karachi,Widget C,8,1504.45
1001,2026-03-04,Multan,Widget A,19,2398.65
1002,2026-01-03,Lahore,Widget B,17,3209.08
1003,2026-03-07,Multan,Widget D,8,2521.44
1004,2026-02-26,Karachi,Widget B,14,2031.13
1005,2026-01-07,Islamabad,Widget A,3,2209.67
1006,2026-02-28,Islamabad,Widget C,2,3783.79
1007,2026-03-04,Peshawar,Widget A,18,1819.3
1008,2026-03-20,Islamabad,Widget B,3,706.21
1009,2026-01-25,Islamabad,Widget A,8,4399.18
1010,2026-02-09,Peshawar,Widget C,6,2165.81
1011,2026-01-22,Islamabad,Widget A,20,3357.4
1012,2026-03-24,Lahore,Widget B,15,2207.55
1013,2026-03-23,Multan,Widget B,11,4292.83
1014,2026-01-08,Karachi,Widget C,13,1704.83
1015,2026-01-19,Islamabad,Widget B,16,2280.34
1016,2026-03-15,Lahore,Widget C,5,1609.82
1017,2026-03-18,Islamabad,Widget D,19,2297.3
1018,2026-01-05,Multan,Widget D,3,3901.02
1019,2026-01-05,Lahore,Widget D,20,785.87
1020,2026-02-20,Peshawar,Widget C,18,4373.51
1021,2026-01-22,Karachi,Widget C,11,1001.98
1022,2026-02-06,Peshawar,Widget A,9,4873.5
1023,2026-01-17,Karachi,Widget C,17,3240.37
1024,2026-01-12,Lahore,Widget A,20,1958.7
1025,2026-01-04,Islamabad,Widget C,8,760.66
1026,2026-03-03,Karachi,Widget D,3,4900.93
1027,2026-03-25,Lahore,Widget B,16,4760.82
1028,2026-01-09,Multan,Widget D,7,4680.11
1029,2026-03-23,Lahore,Widget C,13,4978.17
1030,2026-03-12,Peshawar,Widget D,4,1615.58
1031,2026-01-11,Karachi,Widget B,19,1490.98
1032,2026-01-23,Karachi,Widget B,3,4574.39
1033,2026-02-03,Multan,Widget B,9,3510.4
1034,2026-01-18,Lahore,Widget D,8,4030.79
1035,2026-02-07,Karachi,Widget A,14,2094.34
1036,2026-02-15,Karachi,Widget A,2,2311.8
1037,2026-02-26,Karachi,Widget B,7,1355.94
1038,2026-02-05,Peshawar,Widget B,9,2581.83
1039,2026-01-15,Multan,Widget A,2,3434.65
1040,2026-03-27,Karachi,Widget A,8,1248.4
1041,2026-02-16,Lahore,Widget D,2,1240.87
1042,2026-01-13,Islamabad,Widget D,10,2403.53
1043,2026-03-26,Multan,Widget D,5,1354.54
1044,2026-01-02,Multan,Widget A,11,757.24
1045,2026-03-16,Multan,Widget B,2,4823.51
1046,2026-01-28,Lahore,Widget A,20,805.82
1047,2026-01-13,Karachi,Widget B,19,3175.34
1048,2026-03-03,Peshawar,Widget C,9,1419.17
1049,2026-03-11,Lahore,Widget C,13,1088.95
