order_id,customer_name,customer_type
1000,Customer_0,Wholesale
1001,Customer_1,Wholesale
1002,Customer_2,Retail
1003,Customer_3,Wholesale
1004,Customer_4,Wholesale
1005,Customer_5,Online
1006,Customer_6,Online
1007,Customer_7,Wholesale
1008,Customer_8,Online
1009,Customer_9,Retail
1010,Customer_10,Wholesale
1011,Customer_11,Retail
1012,Customer_12,Online
1013,Customer_13,Online
1014,Customer_14,Retail
1015,Customer_15,Wholesale
1016,Customer_16,Online
1017,Customer_17,Online
1018,Customer_18,Online
1019,Customer_19,Retail
1020,Customer_20,Retail
1021,Customer_21,Online
1022,Customer_22,Wholesale
1023,Customer_23,Retail
1024,Customer_24,Wholesale
1025,Customer_25,Retail
1026,Customer_26,Retail
1027,Customer_27,Wholesale
1028,Customer_28,Wholesale
1029,Customer_29,Wholesale
1030,Customer_30,Retail
1031,Customer_31,Wholesale
1032,Customer_32,Wholesale
1033,Customer_33,Wholesale
1034,Customer_34,Wholesale
1035,Customer_35,Wholesale
1036,Customer_36,Wholesale
1037,Customer_37,Wholesale
1038,Customer_38,Retail
1039,Customer_39,Wholesale
1040,Customer_40,Retail
1041,Customer_41,Online
1042,Customer_42,Online
1043,Customer_43,Retail
1044,Customer_44,Wholesale
1045,Customer_45,Retail
1046,Customer_46,Online
1047,Customer_47,Retail
1048,Customer_48,Online
1049,Customer_49,Retail
1050,Customer_50,Retail
1051,Customer_51,Retail
1052,Customer_52,Retail
1053,Customer_53,Retail
1054,Customer_54,Online
1055,Customer_55,Retail
1056,Customer_56,Retail
1057,Customer_57,Retail
1058,Customer_58,Wholesale
1059,Customer_59,Online
1060,Customer_60,Retail
1061,Customer_61,Online
1062,Customer_62,Retail
1063,Customer_63,Wholesale
1064,Customer_64,Online
1065,Customer_65,Wholesale
1066,Customer_66,Wholesale
1067,Customer_67,Retail
1068,Customer_68,Online
1069,Customer_69,Online
1070,Customer_70,Online
1071,Customer_71,Online
1072,Customer_72,Retail
1073,Customer_73,Retail
1074,Customer_74,Wholesale
1075,Customer_75,Retail
1076,Customer_76,Online
1077,Customer_77,Retail
1078,Customer_78,Wholesale
1079,Customer_79,Online
1080,Customer_80,Online
1081,Customer_81,Wholesale
1082,Customer_82,Wholesale
1083,Customer_83,Online
1084,Customer_84,Retail
1085,Customer_85,Retail
1086,Customer_86,Online
1087,Customer_87,Online
1088,Customer_88,Online
1089,Customer_89,Retail
1090,Customer_90,Retail
1091,Customer_91,Online
1092,Customer_92,Wholesale
1093,Customer_93,Online
1094,Customer_94,Online
1095,Customer_95,Retail
1096,Customer_96,Online
1097,Customer_97,Retail
1098,Customer_98,Wholesale
1099,Customer_99,Online
